complete;Feature Importance;abs_score;complete
MTHFD1_1_homo;0,356512117;0,356512117;10
C6_1_homo;-0,278353695;0,278353695;10
TP53_1_homo;0,222141257;0,222141257;10
ITGB4_1_homo;-0,210556247;0,210556247;8
HDAC5_1_homo;0,194422421;0,194422421;7
LINC00452_1_homo;0,186255802;0,186255802;10
FBXL18_1_homo;0,183305568;0,183305568;9
PYY_1_homo;-0,166002698;0,166002698;8
EXOC3L4_1_homo;0,153368472;0,153368472;8
ARHGAP45_1_homo;0,151889539;0,151889539;9
RBM11_1_homo;-0,127763087;0,127763087;8
DCLRE1A_1_homo;-0,123431839;0,123431839;9
TNFRSF10B_2_homo;0,11871302;0,11871302;7
DNAJC10_2_homo;0,110983564;0,110983564;7
MRGPRX3_1_homo;-0,101996999;0,101996999;8
KISS1R_1_homo;-0,094380158;0,094380158;5
RGS7BP_1_homo;-0,084405538;0,084405538;4
ELF1_1_homo;-0,08143383;0,08143383;7
CCDC61_1_homo;0,081160219;0,081160219;7
TTF2_1_homo;0,070435305;0,070435305;5
POLI_1_homo;-0,057598825;0,057598825;5
ANXA10_1_homo;-0,054263131;0,054263131;5
CCDC85A_1_homo;0,050684863;0,050684863;3
PLA2G2D_1_homo;0,048755948;0,048755948;4
EFCAB5_1_homo;-0,047852301;0,047852301;4
TMEM238_1_homo;-0,047479486;0,047479486;6
C11orf21_1_homo;-0,046085583;0,046085583;4
ANKRD61_1_homo;-0,038817926;0,038817926;5
GTPBP10_1_homo;-0,034302227;0,034302227;2
ORC4_1_homo;0,030043485;0,030043485;2
SLC6A18_4_homo;0,025965909;0,025965909;3
TMC7_1_homo;-0,022547614;0,022547614;4
PCLO_1_homo;-0,017678396;0,017678396;3
MGAT1_1_homo;0,016291086;0,016291086;4
AHSG_1_homo;0,015817072;0,015817072;4
TTC5_1_homo;0,015353472;0,015353472;3
SYT8_1_homo;-0,011286216;0,011286216;2
OR52H1_2_homo;0,007889787;0,007889787;1